Cargo,Experiência,Salário
Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista de Marketing,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista de BI/BI Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,Analista de Negócios/Business Analyst,Sênior
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Júnior,de R$ 4.001/mês a R$ 6.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 1.001/mês a R$ 2.000/mês
,,
Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,
Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Analista de Inteligência de Mercado/Market Intelligence,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
,Analista de Dados/Data Analyst,Júnior
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,
,,de R$ 3.001/mês a R$ 4.000/mês
Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Outra Opção,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,
,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
Empregado (CLT),Internet/Ecommerce,de 101 a 500
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Cientista de Dados/Data Scientist,Júnior,de R$ 12.001/mês a R$ 16.000/mês
TRUE,,Graduação/Bacharelado
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês
,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,Acima de R$ 40.001/mês
Empregado (CLT),Área da Saúde,de 101 a 500
,,de R$ 16.001/mês a R$ 20.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Acima de 3.000,FALSE,
Analista de BI/BI Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Mestrado,Outras Engenharias,Empregado (CLT)
Professor,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
TRUE,Supervisor/Coordenador,
FALSE,,Analista de Dados/Data Analyst
Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT)
Outra Opção,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Analista de Suporte/Analista Técnico,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista de BI/BI Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Outra Opção,Júnior,de R$ 4.001/mês a R$ 6.000/mês
,,
Professor,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 25.001/mês a R$ 30.000/mês
Acima de 3.000,FALSE,
 CDO, CIO," CTO etc)"""
Analytics Engineer,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês
,,
,,de R$ 20.001/mês a R$ 25.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Doutorado ou Phd,Outra opção,Empregado (CLT)
,,
Empregado (CLT),Finanças ou Bancos,de 101 a 500
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
FALSE,,Outra Opção
Acima de 3.000,FALSE,
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês
,,de R$ 20.001/mês a R$ 25.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 12.001/mês a R$ 16.000/mês
Outra Opção,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Cientista de Dados/Data Scientist,Júnior,de R$ 1.001/mês a R$ 2.000/mês
,,de R$ 3.001/mês a R$ 4.000/mês
,,de R$ 16.001/mês a R$ 20.000/mês
Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês
SP,Sudeste,TRUE
Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês
Analista de Negócios/Business Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Machine Learning/ML Engineer,Sênior,de R$ 30.001/mês a R$ 40.000/mês
Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 6.001/mês a R$ 8.000/mês
,,de R$ 30.001/mês a R$ 40.000/mês
Analista de BI/BI Analyst,Pleno,de R$ 2.001/mês a R$ 3.000/mês
Analista de Dados/Data Analyst,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Acima de 3.000,FALSE,
,,de R$ 8.001/mês a R$ 12.000/mês
Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
,,
Outra Opção,Pleno,de R$ 6.001/mês a R$ 8.000/mês
,Graduação/Bacharelado,Outra opção
Analista de Negócios/Business Analyst,Pleno,de R$ 16.001/mês a R$ 20.000/mês
Sul,TRUE,
Outra Opção,Pleno,de R$ 1.001/mês a R$ 2.000/mês
DBA/Administrador de Banco de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês
,,
,Cientista de Dados/Data Scientist,Júnior
Acima de 3.000,FALSE,
Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista de Suporte/Analista Técnico,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês
